file_name,folder,common_name,scientific_name
61025001.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
61025002.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
61025003.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
61025004.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
61025006.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
61025007.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
61025008.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
61025009.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500A.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500B.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500C.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500D.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500E.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500F.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500G.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500H.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500I.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500J.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500K.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500M.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500N.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500O.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500P.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500Q.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102500R.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
61026001.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
61026002.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
61026004.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102600F.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102600G.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102601Y.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102601Z.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
61026020.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
61026021.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102602I.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102602J.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102602K.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102602T.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102602U.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102602V.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102602W.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
61026031.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
61026036.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102603A.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6102603C.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
