,file_name,folder,common_name,scientific_name
0,61025001.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
1,61025002.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
2,61025003.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
3,61025004.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
4,61025006.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
5,61025007.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
6,61025008.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
7,61025009.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
8,6102500A.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
9,6102500B.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
10,6102500C.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
11,6102500D.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
12,6102500E.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
13,6102500F.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
14,6102500G.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
15,6102500H.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
16,6102500I.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
17,6102500J.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
18,6102500K.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
19,6102500M.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
20,6102500N.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
21,6102500O.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
22,6102500P.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
23,6102500Q.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
24,6102500R.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
25,61026001.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
26,61026002.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
27,61026004.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
28,6102600F.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
29,6102600G.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
30,6102601Y.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
31,6102601Z.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
32,61026020.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
33,61026021.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
34,6102602I.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
35,6102602J.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
36,6102602K.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
37,6102602T.wav,Atlantic Spotted Dolphin (Stenella frontalis) 58,Atlantic Spotted Dolphin,Stenella frontalis
